BottleName,Price,Description,Link
"Boekenhoutskloof Cabernet Sauvignon 2017, Stellenbosch","

£45.00                        ","A layered, ripe Cabernet Sauvignon from the winery behind The Chocolate Block.","/wines/boekenhoutskloof-cabernet-sauvignon-20006,/wines/boekenhoutskloof-cabernet-sauvignon-20006,/wines/boekenhoutskloof-cabernet-sauvignon-20006#reviews"
"Jim Barry 'The Lodge Hill' Shiraz 2017/18, Clare Valley","

£10.99                        ","The inky blackcurrant and boysenberry fruit is lifted by violet and menthol notes, with smooth tannins still providing plenty of grip. The finish is long and rich.","/wines/the-lodge-hill-shiraz-19958,/wines/the-lodge-hill-shiraz-19958,/wines/the-lodge-hill-shiraz-19958#reviews"
"Two Hands 'Samantha's Garden' Shiraz 2018, Clare Valley","

£35.00                        ","Displays the typical eucalyptus notes and fineness of tannic structure that characterise Clare Valley Shiraz, enhanced by maturation for 18 months in second-fill French oak.","/wines/two-hands-samanthas-garden-shiraz-19003,/wines/two-hands-samanthas-garden-shiraz-19003,/wines/two-hands-samanthas-garden-shiraz-19003#reviews"
"Santa Rita 120 Merlot 2020, Central Valley","

£5.99                        ","In Chile’s civil war, 120 soldiers sought refuge in Santa Rita’s cellars in 1814. Soft. Ripe. Smooth. This red-fruity Merlot is an homage to them.","/wines/santa-rita-120-merlot-39243,/wines/santa-rita-120-merlot-39243,/wines/santa-rita-120-merlot-39243#reviews"
Morande Reserva One to One Pais 2019,"

£7.99                        ",Reminiscent of good Beaujolais this wine is light and fruity with red cherry and raspberry flavours followed by an earthy and spicy finish.,"/wines/morande-reserva-one-to-one-pais-39378,/wines/morande-reserva-one-to-one-pais-39378,/wines/morande-reserva-one-to-one-pais-39378#reviews"
"Terrazas de los Andes Malbec 2018, Mendoza","

£14.99                        ","Harmonious and smooth, with racy notes of violet and graphite accenting the backbone of plum and currant fruit, followed by a finish reminiscent of dry cherries, raisins and prunes.","/wines/terrazas-de-los-andes-selection-malbec-40085,/wines/terrazas-de-los-andes-selection-malbec-40085,/wines/terrazas-de-los-andes-selection-malbec-40085#reviews"
"Bardos Roble 2019/20, Ribera del Duero","

£9.99                        ",Grab a fantastic taste of Ribera del Duero with this wild and rich wine.,"/wines/bardos-roble-14790,/wines/bardos-roble-14790,/wines/bardos-roble-14790#reviews"
"Château Castegens 2016, Castillon Côtes de Bordeaux","

£15.99                        ",Oak-aged Bordeaux from an expert winemaking family. Expect rich black-fruit flavours.,"/wines/chateau-castegens-castillon-61213,/wines/chateau-castegens-castillon-61213,/wines/chateau-castegens-castillon-61213#reviews"
"Château Meyney 2013/2017, Saint-Estèphe","

£31.99                        ","Made up predominantly of Cabernet Sauvignon and Merlot, with a dash of Petit Verdot. It has notes of blackberry, raspberry, graphite.","/wines/chateau-meyney-st-estephe-61223,/wines/chateau-meyney-st-estephe-61223,/wines/chateau-meyney-st-estephe-61223#reviews"
"Cuvée Pierre Brun 2018/19 Domaine des Tourelles, Lebanon","

£10.99                        ","A blend of Cabernet, Syrah, Cinsault and Carignan, this has fine aromatic morello cherry and spice aromas, a dark fruit core with layered earthy spice, and balanced tannins.","/wines/domaine-des-tourelles-cuvee-pierre-brun-38058,/wines/domaine-des-tourelles-cuvee-pierre-brun-38058,/wines/domaine-des-tourelles-cuvee-pierre-brun-38058#reviews"
"Devil's Creek 'Gold Reserve' Pinot Noir 2019, Central Otago","

£12.99                        ",Bright and lively Pinot Noir from Central Otago.,"/wines/devils-creek-gold-reserve-pinot-noir-37487,/wines/devils-creek-gold-reserve-pinot-noir-37487,/wines/devils-creek-gold-reserve-pinot-noir-37487#reviews"
Definition Beaujolais Villages 2019/20,"

£8.99                        ","Expect fresh-yet-intense notes of raspberry, violet and red cherry. Try it with charcuterie.  ","/wines/new-definition-beaujolais-vil-07101,/wines/new-definition-beaujolais-vil-07101,/wines/new-definition-beaujolais-vil-07101#reviews"
Definition Chianti DOCG 2019,"

£8.99                        ",A classic Italian red that's loaded with lashings of red and black cherries and dustings of spice.,"/wines/definition-chianti-docg-13576,/wines/definition-chianti-docg-13576,/wines/definition-chianti-docg-13576#reviews"
"S&R Douro Red 2018, Portugal","

£8.99                        ","Expect rich notes of blackberry, hints of wild thyme and soft tannins. Try it with mature cheeses. ","/wines/sr-douro-red-15151,/wines/sr-douro-red-15151,/wines/sr-douro-red-15151#reviews"
"Bread and Butter Pinot Noir 2019/20, California","

£13.99                        ","A classic Californian Pinot – seriously juicy and seriously fruity. Packed with cranberries, cherries, raspberries and a hint of cedary spice. ","/wines/bread-butter-pinot-noir-18128,/wines/bread-butter-pinot-noir-18128,/wines/bread-butter-pinot-noir-18128#reviews"
"Avior Malbec 2020/21, Argentina","

£5.99                        ",Juicy. Fruity. Smooth. Our buyers tasted more than fifty Malbecs to find the very best for you. It’s great quality – and great value. ,"/wines/avior-malbec-40195,/wines/avior-malbec-40195,/wines/avior-malbec-40195#reviews"
"Yalumba Cigar Cabernet Sauvignon 2016/17, Coonawarra","

£22.99                        ",Yalumba The Cigar Coonawarra Cabernet Australia has a full nose with savoury blackcurrant fruit and on the palate there are layers of plum and cherry fruit and a lengthy savoury textured finish.,"/wines/yalumba-cigar-coonawarra-cabernet-sauvignon-59096,/wines/yalumba-cigar-coonawarra-cabernet-sauvignon-59096,/wines/yalumba-cigar-coonawarra-cabernet-sauvignon-59096#reviews"
"Three Vintners Cabernet Sauvignon 2018, South Australia","

£12.99                        ","Three Vintners is a celebration of three generations of family winemakers, boasting the best of the secret that's been passed from grandfather to father to son.","/wines/three-vintners-cabernet-sauvignon-59140,/wines/three-vintners-cabernet-sauvignon-59140,/wines/three-vintners-cabernet-sauvignon-59140#reviews"
Rustenberg Stellenbosch Cabernet Sauvignon 2019,"

£11.99                        ",Murray Barlow is one of South Africa's most exciting young winemakers and has won Diners Club's Young Winemaker of the Year title an unrivaled twice.,"/wines/rustenberg-stellenbosch-cabernet-sauvignon-20374,/wines/rustenberg-stellenbosch-cabernet-sauvignon-20374,/wines/rustenberg-stellenbosch-cabernet-sauvignon-20374#reviews"
"Orin Swift 'Abstract' 2019, California","

£34.99                        ","A bold, hedonistic blend of Grenache, Syrah and Petit Syrah with a whole lot of personality.","/wines/orin-swift-abstract-18166,/wines/orin-swift-abstract-18166,/wines/orin-swift-abstract-18166#reviews"
"Managers' Choice: VIK 'A' Cabernet Sauvignon 2018/20, Cachapoal Valley","

£15.99                        ","Made just for Majestic customers, it's an elegant medley of ripe, perfumed blackcurrant, cassis, coffee and a divine complexity.","/wines/vik-a-managers-choice-cabernet-sauvignon-39428,/wines/vik-a-managers-choice-cabernet-sauvignon-39428,/wines/vik-a-managers-choice-cabernet-sauvignon-39428#reviews"
"Casillero del Diablo Cabernet Sauvignon 2018/19, Chile","

£7.99                        ","Years ago, a winemaker spread a story that the Devil lived in his cellar to scare thieves. But we’re not deterred from this silky, fruity Cabernet.","/wines/casillero-del-diablo-cabernet-sauvignon-2018-39432,/wines/casillero-del-diablo-cabernet-sauvignon-2018-39432,/wines/casillero-del-diablo-cabernet-sauvignon-2018-39432#reviews"
"Smith & Wright Merlot 2020, Australia","

£5.99                        ","Pair this Merlot's fruity lashings of red fruit, vanilla and sweet spices with red meats and roasted vegetables.","/wines/smith-wright-merlot-59170,/wines/smith-wright-merlot-59170,/wines/smith-wright-merlot-59170#reviews"
"Comte de Baulieu 2018, Haut-Médoc","

£7.99                        ","This second wine is made from the younger vines of Château Ramage la Batisse, a top Cru Bourgeois estate close to Pauillac's Château Mouton Rothschild. Unlike typical clarets which spend time in oak, this is made exclusively in stainless steel and concrete vats. The lack of oak keeps the wine bright and fresh. Expect flavours of briar fruit and plum that pair brilliantly with grilled lamb chops.","/wines/comte-de-baulieu-haut-medoc-61206,/wines/comte-de-baulieu-haut-medoc-61206,/wines/comte-de-baulieu-haut-medoc-61206#reviews"
"Domaine Gayda 'Chemin de Moscou' Organic 2018/19, Pays d'Oc","

£18.99                        ","This blend of low-yield Syrah, Grenache and Cinsault is startlingly good. The 2017 vintage was awarded 93 points by Decanter Magazine.","/wines/chemin-moscou-organic-rouge-09125,/wines/chemin-moscou-organic-rouge-09125,/wines/chemin-moscou-organic-rouge-09125#reviews"
Le Relais du Roi Cairanne 2019/20,"

£12.99                        ","Expect flavours of black plum, blackberry, liquorice and woody spice. Try it with lamb kebabs. ","/wines/relais-du-roi-cairanne-06590,/wines/relais-du-roi-cairanne-06590,/wines/relais-du-roi-cairanne-06590#reviews"
"Edouard Delaunay 'Septembre' Pinot Noir 2018/19, Burgundy","

£14.99                        ","Complex and fresh, with flavours of raspberry, blackcurrant and cherry. Try it with duck.","/wines/delaunay-septembre-pinot-noir-63057,/wines/delaunay-septembre-pinot-noir-63057,/wines/delaunay-septembre-pinot-noir-63057#reviews"
"Talbott 'Kali Hart' Pinot Noir 2017/18, Monterey","

£19.99                        ",Talbott Vineyards put the prestigious Santa Lucia Highlands on the wine world map with its excellent cool-climate wines.,"/wines/talbott-kali-hart-pinot-noir-18968,/wines/talbott-kali-hart-pinot-noir-18968,/wines/talbott-kali-hart-pinot-noir-18968#reviews"
"Caruso & Minini 'Corte Ferro' Nerello Mascalese-Frappato 2019/20, Sicily","

£8.99                        ",Caruso & Minini are one of the producers defining Sicily's wine revolution.,"/wines/corte-ferro-nerello-frappato-13954,/wines/corte-ferro-nerello-frappato-13954,/wines/corte-ferro-nerello-frappato-13954#reviews"
"Château la Garde 2012/13, Pessac-Léognan","

£28.99                        ","It's deep and concentrated, with hints of ripe red fruits, liquorice and smoke. It has delicate tannins and well-integrated oak influence that are fantastic with a roast dinner. ","/wines/chateau-la-garde-61216,/wines/chateau-la-garde-61216,/wines/chateau-la-garde-61216#reviews"
"Cornas 'Les Grandes Terrasses' 2014 Paul Jaboulet Aîné, Rhône Valley","

£27.99                        ","Its hints of black fruits, cedar, pepper and smoke will taste even better over the next decade. Wine Advocate's Jeb Dunnuck gave the 2014 vintage 90 Parker Points.","/wines/jaboulet-cornas-06610,/wines/jaboulet-cornas-06610,/wines/jaboulet-cornas-06610#reviews"
"Château Tour du Haut-Moulin 2013, Haut Médoc","

£13.99                        ","Now showing a good degree of maturity with its deep garnet colour, mellow bramble fruit and gentle notes of cedar and dark spice. Ripe tannins and soft fruit flavour provide a harmonious mouthfeel.","/wines/chateau-tour-du-haut-moulin-01064,/wines/chateau-tour-du-haut-moulin-01064,/wines/chateau-tour-du-haut-moulin-01064#reviews"
"Cuvée de Richard Rouge 2020, France","

£6.99                        ","Amazingly smooth with dense, ripe blackberry and plum fruit, leading to a rounded finish. Extremely versatile, this wine can go with most meat dishes and is eminently drinkable on its own.","/wines/cuvee-de-richard-rouge-igp-09357,/wines/cuvee-de-richard-rouge-igp-09357,/wines/cuvee-de-richard-rouge-igp-09357#reviews"
Les Grandes Serres 'La Pigna' Châteauneuf-du-Pape 2020,"

£18.99                        ",Plum. Black cherry. Garrigue herbs. This is seriously plush Châteauneuf from a producer who takes low yields and late harvests to the extreme.,"/wines/chateauneuf-du-pape-la-pigna-06615,/wines/chateauneuf-du-pape-la-pigna-06615,/wines/chateauneuf-du-pape-la-pigna-06615#reviews"
"Château Begadanet 2015, Médoc","

£11.99                        ",The family makes this Merlot-dominated blend from vines with an average age of 35-years-old. A classical style of claret with notes of briar fruit and cedar.,"/wines/ch-begadanet-medoc-61220,/wines/ch-begadanet-medoc-61220,/wines/ch-begadanet-medoc-61220#reviews"
Roberto Sarotto Barbaresco Riserva 'Currà' 2015/16,"

£25.99                        ","Barbaresco is the less tannic sibling of Barolo. The wine here is also made from the Nebbiolo grape, but typically aged for a shorter period.","/wines/curra-barbaresco-riserva-13932,/wines/curra-barbaresco-riserva-13932,/wines/curra-barbaresco-riserva-13932#reviews"
"Cecchi Chianti DOCG 'Governo All'uso' 2020, Tuscany","

£8.99                        ","Made primarily from Sangiovese, this is a smooth wine with notes of ripe red fruits and a balancing acidity. Excellent with mushroom pasta.","/wines/cecchi-chianti-governo-13934,/wines/cecchi-chianti-governo-13934,/wines/cecchi-chianti-governo-13934#reviews"
"Marcarini Barolo del Comune di La Morra 2016/17, Italy","

£28.99                        ","Barolo is widely considered Italy's king of wines. This is rich, with a fresh bouquet of violets and roses and a long, intense finish.","/wines/macarini-barolo-la-morra-13953,/wines/macarini-barolo-la-morra-13953,/wines/macarini-barolo-la-morra-13953#reviews"
"Château de Malleret 2012, Haut-Médoc","

£14.99                        ",A fantastic Cabernet-dominated claret from a cru bourgeois exceptional estate.,"/wines/ch-malleret-haut-medoc-2012-61245,/wines/ch-malleret-haut-medoc-2012-61245,/wines/ch-malleret-haut-medoc-2012-61245#reviews"
Jaboulet 'Les Jumelles' Côte-Rôtie 2016/17,"

£49.99                        ","A deep, silky Côte-Rôtie made by one of the biggest names in the Rhône","/wines/jaboulet-cote-rotie-06583,/wines/jaboulet-cote-rotie-06583"
"Philippe le Hardi 'Petit Clos' 2018/19, Pommard","

£54.99                        ","Powerful and dazzling. An affordable, powerful red Burgundy from a historic estate.","/wines/pommard-petit-chateau-de-san-63035,/wines/pommard-petit-chateau-de-san-63035"
Edouard Delaunay Gevrey-Chambertin 2017/18,"

£54.99                        ","A deep, powerful red Burgundy from a recently relaunched domain that's already won 39 medals.","/wines/edouard-delaunay-gevrey-chambertin-63048,/wines/edouard-delaunay-gevrey-chambertin-63048,/wines/edouard-delaunay-gevrey-chambertin-63048#reviews"
Domaine Lucien Lardy Moulin-à-Vent 2019/20,"

£14.99                        ","Expect ripe notes of cherry, fig, plum and black peppery from this juicy, persistent wine. Excellent with lamb.","/wines/domaine-lucien-moulin-a-vent-07037,/wines/domaine-lucien-moulin-a-vent-07037,/wines/domaine-lucien-moulin-a-vent-07037#reviews"
Château Tour Haut-Caussan 2014,"

£11.99                        ","Expect aromas of red and black fruits and smoke, flavours of ripe blackberries and cherries, firm tannins and a hint of oak. Try it with roast beef.   ","/wines/ch-tour-haut-caussan-2014-61183,/wines/ch-tour-haut-caussan-2014-61183,/wines/ch-tour-haut-caussan-2014-61183#reviews"
Escarpment 'Pahi' Pinot Noir 2012,"

£32.99                        ",A beautifully structured single-vineyard Pinot Noir from one of New Zealand's top winemakers. ,"/wines/escarpment-pahi-pn-2012-37512,/wines/escarpment-pahi-pn-2012-37512"
"Château Giscours 2011, Margaux","

£64.99                        ","Expect rich notes of black plum and blackcurrant, with a hint of cedar. Match the intense aromatics with a smoky truffle risotto.","/wines/chateau-giscours-2011-61281,/wines/chateau-giscours-2011-61281"
"Villa Tuccia Rosso, Italy","

£5.99                        ","This blend of local grape varieties is bold and juicy. There’s a delicate note of violet alongside ripe cherry, and soft tannins on the persistent finish. It’s fantastic with roast lamb.","/wines/villa-tucci-rosso-73002,/wines/villa-tucci-rosso-73002"
"Château Desmirail 2010, Margaux","

£58.99                        ","Notes of blackberry, ripe cherries and tobacco, well-integrated tannins and a long finish. Try it with roast beef or pork.","/wines/chateau-desmirail-2010-61289,/wines/chateau-desmirail-2010-61289"
Domaine Cauvard Chorey-lès-Beaune 2019/20,"

£19.99                        ","Expect enticing aromas of raspberry, cherry and liquorice, with elegant tannins. The perfect match? Charcuterie and cheese boards.","/wines/chorey-les-beaune-dom-cauvard-63076,/wines/chorey-les-beaune-dom-cauvard-63076,/wines/chorey-les-beaune-dom-cauvard-63076#reviews"
"Château Arnauton 2014, Fronsac","

£14.99                        ",There’s notes of red and black fruits with a spicy hint of vanilla and elegant tannins on the finish. Enjoy it with beef Wellington.,"/wines/chateau-arnauton-2014-61280,/wines/chateau-arnauton-2014-61280,/wines/chateau-arnauton-2014-61280#reviews"
Voerzio Martini 'La Serra' Barolo DOCG 2017,"

£34.99                        ","Expect notes of plum, blackberry, spice and dried herbs and silk-smooth tannins. Drink now with grilled lamb, or cellar it for another 10 years. ","/wines/voerzio-martini-barolo-serra-73009,/wines/voerzio-martini-barolo-serra-73009"
"Château Sérilhan 2012, Saint-Estèphe","

£13.99                        ","Smooth, fine and complex, with notes of cedar, black plum and blackcurrant. Try it with a hearty meat casserole.","/wines/ch-serilhan-st-estephe-2012-61283,/wines/ch-serilhan-st-estephe-2012-61283"
Aimé Arnoux Châteauneuf-du-Pape 2020,"

£16.99                        ", It boasts elegant notes of red fruit and black pepper and herbaceous aromas. Try it with roasted portobello mushrooms.,"/placeholder-name,/placeholder-name,/placeholder-name#reviews"
Plum and Pepper Barossa Shiraz 2017,"

£12.99                        ","Unashamedly big, bold and juicy with a balancing acidity and a long finish. Try it with herby sausages. ","/wines/plum-pepper-barossa-shiraz-59239,/wines/plum-pepper-barossa-shiraz-59239,/wines/plum-pepper-barossa-shiraz-59239#reviews"
"Château Branaire Ducru 'Duluc de Branaire Ducru' 2016, Saint-Julien","

£34.99                        ","It's complex and full-bodied, with notes of blackcurrant, cherry, cedar and spice. It has a classic earthiness that's fantastic with lamb.  ","/wines/duluc-de-branaire-ducru-2016-61302,/wines/duluc-de-branaire-ducru-2016-61302"
Gerard Bertrand 'Réserve Spéciale' Cabernet Sauvignon 2018,"

£6.99                        ","This is made from 100% Cabernet Sauvignon, a high tannin, high acidity and full-bodied grape variety. Thanks to Languedoc's warm climate, and the resulting ripe grapes, this is a deliciously concentrated Cabernet.","/wines/gerard-bertrand-res-cabernet-97091,/wines/gerard-bertrand-res-cabernet-97091"
Château de Pizay Beaujolais 2020,"

£7.99                        ",Typically light bodied and floral Beaujolais. Try it with charcuterie or grilled meats.,"/wines/chateau-pizay-beaujolais-97103,/wines/chateau-pizay-beaujolais-97103"
Maison Bouachon Côtes du Rhône 2020,"

£7.99                        ","This is made from Grenache and Carignan. Grenache brings body and red-fruit flavour. Carignan brings tannins and hints of sweet spices. Crucially, this is made from very old vines, which produce intensely concentrated grapes.","/wines/bouachon-cotes-du-rhone-97097,/wines/bouachon-cotes-du-rhone-97097,/wines/bouachon-cotes-du-rhone-97097#reviews"
Abbotts & Delaunay 'Le Métayage' Organic Pinot Noir 2020,"

£11.99                        ","To keep the fresh flavours, the grapes behind this are harvested at night. The wine then sees just a touch of oak to dial up the texture but maintain the fruit-forward nature. Try it with roast chicken.","/wines/le-metayage-pinot-noir-97106,/wines/le-metayage-pinot-noir-97106"
Bodegas Patrocinio 'Sancho Garcés' Rioja Crianza 2017,"

£7.99                        ","It's smooth and mellow, with hints of red cherry, tobacco and vanilla that are ideal with tapas. ","/wines/sancho-garces-crianza-2017-14828,/wines/sancho-garces-crianza-2017-14828"
"David Finlayson ‘Herb Garden’ GSM, Stellenbosch","

£8.99                        ","A luscious South African Grenache, Syrah and Mourvèdre blend with a sophisticated Old World touch. It has aromas of red cherry, plum and black pepper spice. ","/wines/d-finlayson-herb-garden-gsm-97109,/wines/d-finlayson-herb-garden-gsm-97109,/wines/d-finlayson-herb-garden-gsm-97109#reviews"
"Emiliana ‘Mr Wildman’ Organic Carménère, Colchagua Valley","

£8.99                        ","A silky-smooth Carménère made by a producer named Winery of the Year in 2016 by Wines of Chile. It has flavours of blackberry, red berry, green pepper and spice.","/wines/mr-wildman-carmenere-organic-97111,/wines/mr-wildman-carmenere-organic-97111"
"Monte da Ravasqueira ‘Mocho Galego Premium Red’, Alentejano","

£8.99                        ","A traditional blend of native Portuguese grapes, Aragonez, Touriga Nacional and Trincadeira. Expect juicy flavours of blueberry, black cherry, vanilla and spice.","/wines/mocho-galego-97128,/wines/mocho-galego-97128,/wines/mocho-galego-97128#reviews"
"De Bortoli ‘Rutherglen Estate’ Shiraz, Australia","

£14.99                        ","This fruit-forward, sophisticated Shiraz is carefully aged in American and French oak. This invites notes of clove and vanilla to the fruit-forward flavours of blackberry and bramble fruit.","/wines/de-bortoli-rutherglen-shiraz-97078,/wines/de-bortoli-rutherglen-shiraz-97078,/wines/de-bortoli-rutherglen-shiraz-97078#reviews"
"Vacqueyras 'Grande Garrigues Organic' 2018/19 Alain Jaume, Rhône Valley","

£14.99                        ","Vacqueyras was the second Rhône commune to recognised with 'cru' status. A step up from other Rhône reds it's famed for bold, perfumed reds.","/wines/jaume-vacqueyras-organic-06579,/wines/jaume-vacqueyras-organic-06579,/wines/jaume-vacqueyras-organic-06579#reviews"
"LFE 900 Single-Vineyard 2016/17, Colchagua Valley","

£14.99                        ","A symphony of ripe, dense black fruit flavour, structured by muscular yet velvety tannins.","/wines/lfe-900-single-vineyard-39344,/wines/lfe-900-single-vineyard-39344,/wines/lfe-900-single-vineyard-39344#reviews"
Château Recougne Bordeaux Supérieur 2018,"

£9.99                        ","This claret is steeped in history. The château was favoured by Henry IV – and uses old Bordeaux variety Carménère in the blend. Ripe, fresh and full of black fruit.","/wines/chateau-recougne-01030,/wines/chateau-recougne-01030,/wines/chateau-recougne-01030#reviews"
Château Coufran 2007 Haut-Médoc Cru Bourgeois Supérieur,"

£16.99                        ","This wine has a soft, fleshy and ample feel, combining soft bramble and ripe plum flavours with smooth tannins. Subtle cedar and leaf aromas complete the picture.","/wines/chateau-coufran-01035,/wines/chateau-coufran-01035,/wines/chateau-coufran-01035#reviews"
Baron Edmond de Rothschild Montagne-Saint-Émilion 2016/18,"

£18.99                        ","Punching well above its price point, this delicious Saint-Émilion-lookalike is from the same family as First Growth £1,000-a-bottle Château Lafite.","/wines/edmond-rothschild-st-emilion-01155,/wines/edmond-rothschild-st-emilion-01155,/wines/edmond-rothschild-st-emilion-01155#reviews"
"Château Caronne Ste-Gemme 2016, Haut-Médoc","

£14.99                        ","When the neighbours’ wines sell for £50+ a bottle, you know you’re onto a good thing. 500 meters from St Julien – great flavour meets great value. It’s packed with really rich, dark fruit flavours. Plum. Blackberry. Classic Cabernet cassis. Delicious with roast red meat.","/wines/ch-caronne-st-gemme-01710,/wines/ch-caronne-st-gemme-01710,/wines/ch-caronne-st-gemme-01710#reviews"
Hospices de Beaujeu 2019/20,"

£8.99                        ",This Gamay has a classic Burgundian character with lots of fruit flavours and woody notes.,"/wines/hospices-de-beaujeu-03065,/wines/hospices-de-beaujeu-03065,/wines/hospices-de-beaujeu-03065#reviews"
M. Chapoutier 'Belleruche' Côtes du Rhône 2019/20,"

£8.49                        ",Smooth. Easy-drinking. Fruity. This firm Majestic favourite is as food-friendly as they come – and it’s unoaked for maximum black-cherry and herb flavour.,"/wines/chapoutier-cdr-belleruche-06533,/wines/chapoutier-cdr-belleruche-06533,/wines/chapoutier-cdr-belleruche-06533#reviews"
Georges Duboeuf 'Flower Label' Fleurie 2020,"

£10.99                        ","Fleurie is one of the top appellations in Beaujolais. Floral. Delicate. Red berried. It’s typical of the region, from one of the top producers.","/wines/fleurie-07129,/wines/fleurie-07129,/wines/fleurie-07129#reviews"
"Morgon 2020 Château de Pizay, Beaujolais","

£10.99                        ","This top class wine has a nose dominated by blackberries and cherries and a silky smooth palate with fine tannins combining. Classic Morgon, showing the fruit of Beaujolais and the charm of Burgundy.","/wines/morgon-07172,/wines/morgon-07172,/wines/morgon-07172#reviews"
"Masi 'Campofiorin' 2017/18, Rosso Veronese","

£12.99                        ","Expect intense notes of ripe cherry with hints of tobacco, vanilla and cinnamon spice. Enjoy it with a cheese and charcuterie platter.","/wines/campofiorin-13168,/wines/campofiorin-13168,/wines/campofiorin-13168#reviews"
Definition Chianti Classico DOCG 2019,"

£9.99                        ",The essence of Chianti from one of the most celebrated producers in the Chianti Classico region. Sour cherries. Plum. ,"/wines/definition-chianti-classico-13434,/wines/definition-chianti-classico-13434,/wines/definition-chianti-classico-13434#reviews"
Cantina Negrar 'Vigneti di Roccolo' Amarone della Valpolicella 2018,"

£20.99                        ","Amarone has only existed since 1938, but it’s one of the kings of Italian wine. Velvety. Full bodied. Made with sun-dried grapes – it’s truly unique.","/wines/amarone-classico-vigneti-di-roccolo-13675,/wines/amarone-classico-vigneti-di-roccolo-13675,/wines/amarone-classico-vigneti-di-roccolo-13675#reviews"
"Masi 'Costasera' Amarone Classico 2015/16, Valpolicella","

£31.99                        ","Sumptuous Amarone from Masi – a byword for quality in Italian wine. Plush with dried fruits and savoury spice, it’s a benchmark for the style.","/wines/amarone-classico-costasera-13831,/wines/amarone-classico-costasera-13831,/wines/amarone-classico-costasera-13831#reviews"
Montepulciano d'Abruzzo 2018/19 Masciarelli,"

£9.99                        ","It's a step up from other Montepulciano, boasting notes of ripe cherries, sweet spices and an alluring hint of smoke. It's comfort food in a bottle.","/wines/montepulciano-dabruzzo-13850,/wines/montepulciano-dabruzzo-13850,/wines/montepulciano-dabruzzo-13850#reviews"
CVNE Rioja Reserva 2016,"

£12.99                        ","Rich. Warm. Vanilla-spiced. Aged in oak for fifty percent longer than legally required for more finesse, and soft tannins which make it extra smooth.","/wines/rioja-reserva-14171,/wines/rioja-reserva-14171,/wines/rioja-reserva-14171#reviews"
"Olivier Dubois 'Cuvée Prestige' Pinot Noir 2020/21, Loire","

£8.99                        ","The Loire is a real insider secret for Pinot Noir lovers. It’s where to look for juicy, red-fruit-scented Pinot which is great quality – and great value.","/wines/olivier-dubois-vdf-pinot-noir-05053,/wines/olivier-dubois-vdf-pinot-noir-05053,/wines/olivier-dubois-vdf-pinot-noir-05053#reviews"
"Domaine Begude ‘Esprit’ Pinot Noir 2019/20, Limoux","

£15.99                        ","It has fresh, fruity notes of cherry and raspberry, with gentle softness. Try it with a roasted or pan-fried duck breast. ","/wines/esprit-de-begude-pinot-noir-09036,/wines/esprit-de-begude-pinot-noir-09036,/wines/esprit-de-begude-pinot-noir-09036#reviews"
"Domaine de Valmoissine Pinot Noir 2018/19, Louis Latour","

£11.99                        ","Delicious and affordable? It’s rare to find a Pinot which is both. Leave it to Latour, master of top-quality Burgundian reds. Silky and berry-fruity.","/wines/pinot-noir-domaine-de-valmoissine-09364,/wines/pinot-noir-domaine-de-valmoissine-09364,/wines/pinot-noir-domaine-de-valmoissine-09364#reviews"
"Domaine de Villemajou 2018/19 Corbières Boutenac, Gérard Bertrand","

£14.99                        ","Rich and complex, with jammy blackcurrant fruit and hints of roasted coffee bean, leather and soft spice notes. Round and soft on the palate, with supple, well-weighted tannins. ","/wines/domaine-de-villemajou-09455,/wines/domaine-de-villemajou-09455,/wines/domaine-de-villemajou-09455#reviews"
Viña Pomal Rioja Reserva 2015,"

£10.99                        ",It has flavours of red fruits and toasty oak. Try it with red meat and grilled vegetables. ,"/wines/vina-pomal-rioja-reserva-14431,/wines/vina-pomal-rioja-reserva-14431,/wines/vina-pomal-rioja-reserva-14431#reviews"
Beronia Rioja Reserva 2016/17,"

£15.99                        ","In 1973 a group of foodie friends decided to make a Rioja which was expressly designed to go with food. They succeeded. 50 years later, their wines are still renowned for being food-friendly. This is ripe and full of red-fruit flavour with hints of toasty coconut, vanilla and spice. Perfect for roast lamb and all the trimmings.","/wines/rioja-reserva-14480,/wines/rioja-reserva-14480,/wines/rioja-reserva-14480#reviews"
"Rioja Reserva Viña Ardanza 2012 Magnum, La Rioja Alta","

£51.99                        ","Complex and perfumed primary and secondary aromas of earth, spice and red fruits with a long, elegantly structured medium weight body of spicy tannins and layers of flavour.","/wines/rioja-reserva-vina-ardanza-2008-la-rioja-alta-14525,/wines/rioja-reserva-vina-ardanza-2008-la-rioja-alta-14525,/wines/rioja-reserva-vina-ardanza-2008-la-rioja-alta-14525#reviews"
Ramos Reserva 2019 Vinho Regional Alentejano,"

£7.49                        ","A robust ruby red wine, with dense aromas of red berries and pudding spice. Flavours on the palate are bright, thick and jammy, with fine-grained, well integrated tannins and good length.","/wines/ramos-reserva-15120,/wines/ramos-reserva-15120,/wines/ramos-reserva-15120#reviews"
"Château Montelena Cabernet Sauvignon 2017/18, Napa Valley","

£52.99                        ","A medium-bodied, velvety Cabernet Sauvignon made by one of Napa Valley's oldest estates.","/wines/montelena-napa-valley-cabernet-sauvignon-18085,/wines/montelena-napa-valley-cabernet-sauvignon-18085,/wines/montelena-napa-valley-cabernet-sauvignon-18085#reviews"
